"location","age_group","year","week","date","value"
"DE","00+",2024,40,"2024-10-06",17162
"DE","00+",2024,41,"2024-10-13",18578
"DE","00+",2024,42,"2024-10-20",18377
"DE","00+",2024,43,"2024-10-27",19157
"DE","00+",2024,44,"2024-11-03",19862
"DE","00+",2024,45,"2024-11-10",20564
"DE","00+",2024,46,"2024-11-17",22360
"DE","00+",2024,47,"2024-11-24",21051
"DE","00+",2024,48,"2024-12-01",20499
"DE","00+",2024,49,"2024-12-08",22749
"DE","00+",2024,50,"2024-12-15",24750
"DE","00+",2024,51,"2024-12-22",25310
"DE","00+",2024,52,"2024-12-29",24260
"DE","00+",2025,1,"2025-01-05",26734
"DE","00+",2025,2,"2025-01-12",26228
"DE","00+",2025,3,"2025-01-19",26415
"DE","00+",2025,4,"2025-01-26",34152
"DE","00+",2025,5,"2025-02-02",36475
"DE","00+",2025,6,"2025-02-09",35425
"DE","00+",2025,7,"2025-02-16",38994
"DE","00+",2025,8,"2025-02-23",40600
"DE","00+",2025,9,"2025-03-02",39406
"DE","00+",2025,10,"2025-03-09",33603
"DE","00+",2025,11,"2025-03-16",30041
"DE","00+",2025,12,"2025-03-23",27576
"DE","00+",2025,13,"2025-03-30",25325
"DE","00+",2025,14,"2025-04-06",18214
