"location","year","week","date","value_0w","value_1w","value_2w","value_3w","value_4w"
"DE",2024,40,"2024-10-06",17719,3319,994,574,-100
"DE",2024,41,"2024-10-13",18234,5323,623,492,113
"DE",2024,42,"2024-10-20",18060,4731,1108,442,198
"DE",2024,43,"2024-10-27",20385,4058,1136,267,177
"DE",2024,44,"2024-11-03",19894,4462,1012,598,-140
"DE",2024,45,"2024-11-10",20319,3638,1294,713,-101
"DE",2024,46,"2024-11-17",21053,4438,1236,190,142
"DE",2024,47,"2024-11-24",20562,4127,943,288,0
"DE",2024,48,"2024-12-01",20446,3318,1047,0,0
"DE",2024,49,"2024-12-08",21831,4655,0,0,1578
"DE",2024,50,"2024-12-15",23036,0,0,6946,109
"DE",2024,51,"2024-12-22",0,0,30763,465,148
"DE",2024,52,"2024-12-29",0,29168,917,311,332
"DE",2025,1,"2025-01-05",25890,6708,1504,122,-171
"DE",2025,2,"2025-01-12",28630,3644,649,-58,-499
"DE",2025,3,"2025-01-19",29940,3529,1871,-485,-474
"DE",2025,4,"2025-01-26",37860,7996,1194,180,7
"DE",2025,5,"2025-02-02",45266,5881,799,297,219
"DE",2025,6,"2025-02-09",43554,3222,1947,1214,-270
"DE",2025,7,"2025-02-16",40939,9958,2098,557,-314
"DE",2025,8,"2025-02-23",44107,8941,1525,739,28
"DE",2025,9,"2025-03-02",44494,6351,1712,264,796
"DE",2025,10,"2025-03-09",35984,5371,631,929,35
"DE",2025,11,"2025-03-16",30641,5328,1116,140,0
"DE",2025,12,"2025-03-23",26656,5264,745,0,0
"DE",2025,13,"2025-03-30",24773,4060,0,0,0
"DE",2025,14,"2025-04-06",20458,0,0,0,0
