"location","age_group","year","week","date","value"
"DE","00+",2022,52,"2023-01-01",25744
"DE","00+",2023,1,"2023-01-08",21971
"DE","00+",2023,2,"2023-01-15",13644
"DE","00+",2023,3,"2023-01-22",11145
"DE","00+",2023,4,"2023-01-29",11322
"DE","00+",2023,5,"2023-02-05",11367
"DE","00+",2023,6,"2023-02-12",12298
"DE","00+",2023,7,"2023-02-19",12009
"DE","00+",2023,8,"2023-02-26",13239
"DE","00+",2023,9,"2023-03-05",13310
"DE","00+",2023,10,"2023-03-12",14294
"DE","00+",2023,11,"2023-03-19",14766
"DE","00+",2023,12,"2023-03-26",14346
"DE","00+",2023,13,"2023-04-02",12311
"DE","00+",2023,14,"2023-04-09",11966
"DE","00+",2023,15,"2023-04-16",10413
"DE","00+",2023,16,"2023-04-23",9998
"DE","00+",2023,17,"2023-04-30",9311
"DE","00+",2023,18,"2023-05-07",9866
"DE","00+",2023,19,"2023-05-14",9362
"DE","00+",2023,20,"2023-05-21",8645
"DE","00+",2023,21,"2023-05-28",7983
"DE","00+",2023,22,"2023-06-04",8314
"DE","00+",2023,23,"2023-06-11",7538
"DE","00+",2023,24,"2023-06-18",7103
"DE","00+",2023,25,"2023-06-25",6762
"DE","00+",2023,26,"2023-07-02",5883
"DE","00+",2023,27,"2023-07-09",6436
"DE","00+",2023,28,"2023-07-16",6209
"DE","00+",2023,29,"2023-07-23",5875
"DE","00+",2023,30,"2023-07-30",5200
"DE","00+",2023,31,"2023-08-06",5049
"DE","00+",2023,32,"2023-08-13",6121
"DE","00+",2023,33,"2023-08-20",7817
"DE","00+",2023,34,"2023-08-27",6868
"DE","00+",2023,35,"2023-09-03",7313
"DE","00+",2023,36,"2023-09-10",9315
"DE","00+",2023,37,"2023-09-17",8536
"DE","00+",2023,38,"2023-09-24",8313
"DE","00+",2023,39,"2023-10-01",9145
"DE","00+",2023,40,"2023-10-08",9145
"DE","00+",2023,41,"2023-10-15",10807
"DE","00+",2023,42,"2023-10-22",24411
"DE","00+",2023,43,"2023-10-29",24097
"DE","00+",2023,44,"2023-11-05",26994
"DE","00+",2023,45,"2023-11-12",26028
"DE","00+",2023,46,"2023-11-19",28463
"DE","00+",2023,47,"2023-11-26",29933
"DE","00+",2023,48,"2023-12-03",32375
"DE","00+",2023,49,"2023-12-10",33599
"DE","00+",2023,50,"2023-12-17",39591
"DE","00+",2023,51,"2023-12-24",39476
"DE","00+",2023,52,"2023-12-31",42905
"DE","00+",2024,1,"2024-01-07",38951
"DE","00+",2024,2,"2024-01-14",31016
"DE","00+",2024,3,"2024-01-21",37137
"DE","00+",2024,4,"2024-01-28",48544
"DE","00+",2024,5,"2024-02-04",49298
"DE","00+",2024,6,"2024-02-11",49832
"DE","00+",2024,7,"2024-02-18",41460
"DE","00+",2024,8,"2024-02-25",35344
"DE","00+",2024,9,"2024-03-03",28463
"DE","00+",2024,10,"2024-03-10",27622
"DE","00+",2024,11,"2024-03-17",26199
"DE","00+",2024,12,"2024-03-24",24949
"DE","00+",2024,13,"2024-03-31",23266
"DE","00+",2024,14,"2024-04-07",23679
"DE","00+",2024,15,"2024-04-14",22688
"DE","00+",2024,16,"2024-04-21",21573
"DE","00+",2024,17,"2024-04-28",21046
"DE","00+",2024,18,"2024-05-05",24961
"DE","00+",2024,19,"2024-05-12",20390
"DE","00+",2024,20,"2024-05-19",20766
"DE","00+",2024,21,"2024-05-26",19458
"DE","00+",2024,22,"2024-06-02",18350
"DE","00+",2024,23,"2024-06-09",18198
"DE","00+",2024,24,"2024-06-16",18834
"DE","00+",2024,25,"2024-06-23",19488
"DE","00+",2024,26,"2024-06-30",19828
"DE","00+",2024,27,"2024-07-07",18271
"DE","00+",2024,28,"2024-07-14",17535
"DE","00+",2024,29,"2024-07-21",19727
"DE","00+",2024,30,"2024-07-28",16849
"DE","00+",2024,31,"2024-08-04",16730
"DE","00+",2024,32,"2024-08-11",18540
"DE","00+",2024,33,"2024-08-18",17952
"DE","00+",2024,34,"2024-08-25",18369
"DE","00+",2024,35,"2024-09-01",19034
"DE","00+",2024,36,"2024-09-08",21317
"DE","00+",2024,37,"2024-09-15",16244
"DE","00+",2024,38,"2024-09-22",21781
"DE","00+",2024,39,"2024-09-29",24066
"DE","00+",2024,40,"2024-10-06",22506
"DE","00+",2024,41,"2024-10-13",24785
"DE","00+",2024,42,"2024-10-20",24539
"DE","00+",2024,43,"2024-10-27",26023
"DE","00+",2024,44,"2024-11-03",25826
"DE","00+",2024,45,"2024-11-10",25863
"DE","00+",2024,46,"2024-11-17",27059
"DE","00+",2024,47,"2024-11-24",25920
"DE","00+",2024,48,"2024-12-01",24811
"DE","00+",2024,49,"2024-12-08",28064
"DE","00+",2024,50,"2024-12-15",30091
"DE","00+",2024,51,"2024-12-22",31376
"DE","00+",2024,52,"2024-12-29",30728
"DE","00+",2025,1,"2025-01-05",34053
"DE","00+",2025,2,"2025-01-12",32366
"DE","00+",2025,3,"2025-01-19",34381
"DE","00+",2025,4,"2025-01-26",47237
"DE","00+",2025,5,"2025-02-02",52462
"DE","00+",2025,6,"2025-02-09",49667
"DE","00+",2025,7,"2025-02-16",53238
"DE","00+",2025,8,"2025-02-23",55340
"DE","00+",2025,9,"2025-03-02",53617
"DE","00+",2025,10,"2025-03-09",42950
"DE","00+",2025,11,"2025-03-16",37225
"DE","00+",2025,12,"2025-03-23",32665
"DE","00+",2025,13,"2025-03-30",28833
"DE","00+",2025,14,"2025-04-06",20458
